day,loa1signups,loa3signups
01/06/17,1114,445
01/07/17,763,197
01/08/17,792,185
01/09/17,1527,428
01/10/17,1184,387
01/11/17,1131,411
01/12/17,1131,347
01/13/17,1012,272
01/14/17,567,140
01/15/17,517,137
01/16/17,729,232
01/17/17,1079,374
01/18/17,1031,362
01/19/17,985,340
01/20/17,711, 254
01/21/17,444,131
01/22/17,427,134
01/23/17,1020,334
01/24/17,1045,346
01/25/17,956,134
01/26/17,930,321 
01/27/17,926,282
01/28/17,447,141
01/29/17,460,146
01/30/17,908,355
02/01/17,697,322
02/02/17,594,239
02/03/17,592,238
02/04/17,339,124
02/05/17,273,106
02/06/17,952,385
02/07/17,785,286
02/08/17,781,338
02/09/17,712,326
02/10/17,593,237
02/11/17,264,106
02/12/17,279,136
02/13/17,743,361
02/14/17,605,282
02/15/2017,707,323
02/16/2017,672,323
02/17/2017,845,301
02/18/2017,351,130
02/19/2017,346,149
02/20/2017,539,220
02/21/2017,1184,427
02/22/2017,1067,419
02/23/2017,940,364
02/24/2017,783,306
02/25/2017,389,129
02/26/2017,321,152
02/27/2017,1067,431
02/28/2017,1045,398
03/01/2017,879,370
03/02/2017,910,384
03/03/2017,794,313
03/04/2017,349,129
03/05/2017,308,137
03/06/2017,998,395
03/07/2017,795,272
03/08/2017,984,407
03/09/2017,845,330
03/10/2017,775,299
03/11/2017,251,86
03/12/2017,327,146

































