day,new,returning,all
8/9/16,1311,442,1753
8/10/16,1323,432,1755
8/11/16,1112,368,1480
8/12/16,1093,420,1513
8/13/16,527,216,743
8/14/16,604,234,838
8/15/16,1289,439,1728
8/16/16,789,333,1122
8/17/16,1103,425,1528
8/18/16,1055,341,1396
8/19/16,1075,305,1380
8/20/16,541,192,733
8/21/16,545,212,757
8/22/16,1193,426,1619
8/23/16,1156,378,1534
8/24/16,969,374,1343
8/25/16,1118,407,1525
8/26/16,1194,397,1591
8/27/16,553,209,762
8/28/16,710,219,929
8/29/16,1362,452,1814
8/30/16,1456,454,1910
8/31/16,1326,446,1772
9/1/16,1208,406,1614
9/2/16,922,302,1224
9/3/16,505,188,693
9/4/16,526,217,743
9/5/16,602,223,825
9/6/16,1389,473,1862
9/7/16,1316,438,1754
9/8/16,1245,452,1697
