Product,Vets.gov Lead,VA Business Owner,Product Definition,Discovery,Prototype,Pre Flight,Go Live,Launch Date
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Disability_benefits>Disability Benefits</a>,Susan B.,Jennifer Rudisill,Complete  ,Complete  ,Complete   ,Complete   ,Complete   ,Nov-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Education_Benefits_(content)>Education Benefits (content)</a>,Susan B.,Jennifer Rudisill,Complete  ,Complete  ,Complete   ,Complete   ,Complete   ,Nov-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Facility_Locator_Launch>Facility Locator Launch</a>,Rick L.,Dat Tran,Complete  ,Complete  ,Complete  ,Complete   ,Complete   ,Nov-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Feedback_Forum_launch>Feedback Forum launch</a>,Marina M.,Marina M.,Complete  ,Complete  ,Complete   ,Complete   ,Complete   ,Nov-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?GI_Bill_Tool_Launch>GI Bill Tool Launch</a>,Rick L.,Curt Coy,Complete  ,Complete  ,Complete  ,Complete   ,Complete   ,Nov-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?vets.gov_Beta_Launch_vets.gov_Content_(content)>vets.gov Beta Launch vets.gov Content (content)</a>,S. Benson,Martin Taylor,Complete  ,Complete  ,Complete   ,Complete   ,Complete   ,Nov-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?vets.gov_Google_Analytics_Launch>vets.gov Google Analytics Launch</a>,Marina M.,Marina M.,Complete  ,Complete  ,Complete   ,Complete   ,Complete   ,Nov-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?vets.gov_Playbook>vets.gov Playbook</a>,Emily W.,Martin Taylor,Complete  ,Complete  ,Complete   ,Complete   ,Complete   ,Nov-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?vets.gov_Search_Launch>vets.gov Search Launch</a>,Marina M.,Marina M.,Complete  ,Complete  ,Complete   ,Complete   ,Complete   ,Nov-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?vets.gov_platform_launch>vets.gov platform launch</a>,Shawn A.,Marina M.,Complete  ,Complete  ,Complete   ,Complete   ,Complete   ,Nov-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Veterans_Employment_Center_Launch>Veterans Employment Center Launch</a>,Kelly O.,Rosye Cloud,Complete  ,Complete  ,Complete  ,Complete   ,Complete   ,Dec-15
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Careers_&_Employment_(content)>Careers & Employment (content)</a>,Kelly O.,Rosye Cloud,Complete,Complete  ,Green          ,0,0,Mar-16
<a href=/jekyll/update/2016/01/27/product-dashboard.html?GI_Bill_Tool_School_Data_Service>GI Bill Tool School Data Service</a>,Rick L.,Curt Coy,Complete  ,Complete  ,Green          ,0,0,Mar-16
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Homeless_Programs_(content)>Homeless Programs (content)</a>,Kelly O.,Lisa Pape,Complete  ,Green         ,0,0,0,Apr-16
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Veterans_Employment_Center_Ehnancements_(VEC)>Veterans Employment Center Ehnancements (VEC)</a>,Kelly O.,Rosye Cloud,Complete,Complete  ,Green           ,0,0,Apr-16
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Burial_&_Memorial_Services_(content)>Burial & Memorial Services (content)</a>,Kelly O.,Mike Nacinik,Green  ,Green         ,0,0,0,May-16
<a href=/jekyll/update/2016/01/27/product-dashboard.html?GI_Bill_Tool_School_Ratings_Feature>GI Bill Tool School Ratings Feature</a>,Rick L.,Curt Coy,Complete  ,Complete  ,Green         ,0,0,May-16
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Healthcare_Application_(10-10EZ/VOA)>Healthcare Application (10-10EZ/VOA)</a>,Emily T.,Matt Eitutis,Red       ,Green     ,Green         ,0,0,May-16
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Facility_&_Service_Locator_Prototype>Facility & Service Locator Prototype</a>,Rick Lee,Dat Tran,Complete      ,Green     ,0,0,0,Jun-16
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Health_(MyHealtheVet)>Health (MyHealtheVet)</a>,Stacey L.,Theresa Hancock,Green        ,Green          ,0,0,0,Jun-16
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Benefits_(eBenefits)>Benefits (eBenefits)</a>,Stacey L.,Dan Wilcher / Sherry Smith,Green ,0,0,0,0,Sep-16
<a href=/jekyll/update/2016/01/27/product-dashboard.html?Pre-Need_Burial_(form)>Pre-Need Burial (form)</a>,Emily T.,Bill Barnes,Yellow   ,0,0,0,0,TBD
