Task,Status,Comments (only if Yellow or Red
Baseline Google analytics & metrics,Yellow,Analytics product team stand up March 2016
Inventory content,Complete,
Draft information architecture,Complete,
"Conduct technical discovery (security, systems, data, etc.)",Complete,
Document relevant business processes,N/A,
Document data model / identify systems,N/A,
Define feature requirements,Complete,
Complete planning tasks (using launch guide checklist*),Complete,
Update product charter/MOU as needed,Complete,
Complete ATO discovery tasks and documentation,N/A,
COMPLETE ALL DISCOVERY TASKS,Complete,
