Task,Status,Comments (only if Yellow or Red
Develop mockups,Green,
Finalize IA,Complete,
Begin content concurrence,Complete,
Finalize content concurrence,Green,
Begin technical / development tasks,Green,
Develop prototype,N/A,Content product; no prototype required
Review prototype / get feedback,N/A,
Complete system security activities,N/A,
Complete technical/development activities,N/A,
Complete data activities,N/A,
Complete testing,,
Complete communications planning (VA task),,
Conduct / incorporate user research,,
VA business owner final acceptance,,
COMPLETE ALL DESIGN TASKS,Green,
