Task,Status,Comments (only if Yellow or Red
Baseline Google analytics & metrics,,
Inventory content,,
Draft information architecture,,
"Conduct technical discovery (security, systems, data, etc.)",Green,
Document relevant business processes,,
Document data model / identify systems,Green,
Define feature requirements,Green,
Complete planning tasks (using launch guide checklist*),,
Update product charter/MOU as needed,,
Complete ATO discovery tasks and documentation,,
COMPLETE ALL DISCOVERY TASKS,Green,
