Task,Status,Comments (only if Yellow or Red
Develop mockups,Complete,
Finalize IA,Green
Begin content concurrence,,
Finalize content concurrence,,
Begin technical / development tasks,Yellow,Taxonomy requires VA review and validation; Dat Tran to facilitate.
Develop prototype,Green,
Review prototype / get feedback,,
Complete system security activities,,
Complete technical/development activities,,
Complete data activities,,
Complete testing,,
Complete communications planning (VA task),,
Conduct / incorporate user research,,
VA business owner final acceptance,,
COMPLETE ALL DESIGN TASKS,,
