Task,Status,Comments (only if Yellow or Red
Develop mockups,Green,
Finalize IA,N/A,
Begin content concurrence,N/A,
Finalize content concurrence,N/A,
Begin technical / development tasks,Green,
Develop prototype,Green,
Review prototype / get feedback,,
Complete system security activities,,
Complete technical/development activities,,
Complete data activities,,
Complete testing,,
Complete communications planning (VA task),,
Conduct / incorporate user research,,
VA business owner final acceptance,,
COMPLETE ALL DESIGN TASKS,Green,
