Task,Status,Comments (only if Yellow or Red
Develop mockups,Complete,
Finalize IA,Complete,
Begin content concurrence,Complete,
Finalize content concurrence,Complete,
Begin technical / development tasks,Complete,
Develop prototype,Complete,
Review prototype / get feedback,Yellow,Review schedule with C. Coy 2/26.
Complete system security activities,Green,
Complete technical/development activities,Green,
Complete data activities,Green,
Complete testing,,
Complete communications planning (VA task),,
Conduct / incorporate user research,Green,
VA business owner final acceptance,,
COMPLETE ALL DESIGN TASKS,Green,
