Task,Status,Comments (only if Yellow or Red
Baseline Google analytics & metrics,,
Inventory content,Green,
Draft information architecture,Green,
"Conduct technical discovery (security, systems, data, etc.)",Green,
Document relevant business processes,Green,
Document data model / identify systems,Green,
Define feature requirements,Green,
Complete planning tasks (using launch guide checklist*),Green,
Update product charter/MOU as needed,Red,Need a signed charter; currently under review by VA Business Owner.
Complete ATO discovery tasks and documentation,,
COMPLETE ALL DISCOVERY TASKS,Green,
