Task,Status,Comments (only if Yellow or Red
Develop mockups,Complete,
Finalize IA,Complete,
Begin content concurrence,Complete,
Finalize content concurrence,Complete,
Begin technical / development tasks,Green,
Develop prototype,Complete,
Review prototype / get feedback,Green,
Complete system security activities,Green,
Complete technical/development activities,Green,
Complete data activities,,
Complete testing,,
Complete communications planning (VA task),,
Conduct / incorporate user research,,
VA business owner final acceptance,,
COMPLETE ALL DESIGN TASKS,Green,
