Task,Status,Comments (only if Yellow or Red
Develop mockups,,
Finalize IA,,
Begin content concurrence,,
Finalize content concurrence,,
Begin technical / development tasks,,
Develop prototype,,
Review prototype / get feedback,,
Complete system security activities,,
Complete technical/development activities,,
Complete data activities,,
Complete testing,,
Complete communications planning (VA task),,
Conduct / incorporate user research,,
VA business owner final acceptance,,
COMPLETE ALL DESIGN TASKS,,
