Task,Status,Comments (only if Yellow or Red
Develop mockups,Green,
Finalize IA,Complete,
Begin content concurrence,Complete,
Finalize content concurrence,Green,
Begin technical / development tasks,Green,
Develop prototype,,
Review prototype / get feedback,,
Complete system security activities,N/A,
Complete technical/development activities,,
Complete data activities,,
Complete testing,,
Complete communications planning (VA task),,
Conduct / incorporate user research,,
VA business owner final acceptance,,
COMPLETE ALL DESIGN TASKS,Green,
