Task,Status,Comments (only if Yellow or Red
Baseline Google analytics & metrics,Complete,
Inventory content,Complete,
Draft information architecture,Complete,
"Conduct technical discovery (security, systems, data, etc.)",N/A,
Document relevant business processes,N/A,
Document data model / identify systems,N/A,
Define feature requirements,N/A,
Complete planning tasks (using launch guide checklist*),Complete,
Update product charter/MOU as needed,N/A,
Complete ATO discovery tasks and documentation,N/A,
COMPLETE ALL DISCOVERY TASKS,Complete,
