Task,Status,Comments (only if Yellow or Red
Develop mockups,N/A,Content product; no prototype required
Finalize IA,Complete,
Begin content concurrence,Complete,
Finalize content concurrence,Complete,
Begin technical / development tasks,N/A,
Develop prototype,N/A,
Review prototype / get feedback,N/A,
Complete system security activities,N/A,
Complete technical/development activities,N/A,
Complete data activities,N/A,
Complete testing,Complete,
Complete communications planning (VA task),Complete,
Conduct / incorporate user research,Complete,
VA business owner final acceptance,Complete,
COMPLETE ALL DESIGN TASKS,Complete,
