Task,Status,Comments (only if Yellow or Red
Develop mockups,N/A,
Finalize IA,N/A,
Begin content concurrence,N/A,
Finalize content concurrence,N/A,
Begin technical / development tasks,Complete,
Develop prototype,N/A,
Review prototype / get feedback,N/A,
Complete system security activities,Complete,
Complete technical/development activities,Complete,
Complete data activities,N/A,
Complete testing,Complete,
Complete communications planning (VA task),Complete,
Conduct / incorporate user research,Complete,
VA business owner final acceptance,Complete,
COMPLETE ALL DESIGN TASKS,Complete,
